PERSON_ID,FIRST_NAME,LAST_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,SEASON_EXP
1629833,Keljin,Blevins,Guard,6-4,200,USA,1995-11-24T00:00:00,2019,,,2
203992,Bogdan,Bogdanovic,Guard,6-6,225,Serbia,1992-08-18T00:00:00,2014,1,27,5
202711,Bojan,Bogdanovic,Forward,6-7,226,Croatia,1989-04-18T00:00:00,2011,2,31,8
1629626,Bol,Bol,Center-Forward,7-2,220,Sudan,1999-11-16T00:00:00,2019,2,44,3
1630195,Leandro,Bolmaro,Forward,6-6,200,Argentina,2000-09-11T00:00:00,2020,1,23,1
1629067,Isaac,Bonga,Guard,6-8,180,Germany,1999-11-08T00:00:00,2018,2,39,4
1626164,Devin,Booker,Guard,6-5,206,USA,1996-10-30T00:00:00,2015,1,13,7
1630527,Brandon,Boston,Guard,6-6,188,USA,2001-11-28T00:00:00,2021,2,51,1
1628449,Chris,Boucher,Forward-Center,6-9,200,Saint Lucia,1993-01-11T00:00:00,Undrafted,Undrafted,Undrafted,5
1630547,James,Bouknight,Guard,6-4,190,USA,2000-09-18T00:00:00,2021,1,11,1
202340,Avery,Bradley,Guard,6-3,180,USA,1990-11-26T00:00:00,2010,1,19,12
1628396,Tony,Bradley,Center-Forward,6-10,248,USA,1998-01-08T00:00:00,2017,1,28,5
1629649,Ignas,Brazdeikis,Forward,6-6,221,Canada,1999-01-08T00:00:00,2019,2,47,3
1628969,Mikal,Bridges,Forward,6-6,209,USA,1996-08-30T00:00:00,2018,1,10,4
1628970,Miles,Bridges,Forward,6-7,225,USA,1998-03-21T00:00:00,2018,1,12,4
1629052,Oshae,Brissett,Forward-Guard,6-7,210,Canada,1998-06-20T00:00:00,Undrafted,Undrafted,Undrafted,3
1627763,Malcolm,Brogdon,Guard,6-5,229,USA,1992-12-11T00:00:00,2016,2,36,6
1629717,Armoni,Brooks,Guard,6-3,195,USA,1998-06-05T00:00:00,2019,,,3
1628415,Dillon,Brooks,Guard-Forward,6-7,225,Canada,1996-01-22T00:00:00,2017,2,45,5
1628971,Bruce,Brown,Guard-Forward,6-4,202,USA,1996-08-15T00:00:00,2018,2,42,4
1627759,Jaylen,Brown,Guard-Forward,6-6,223,USA,1996-10-24T00:00:00,2016,1,3,6
1629650,Moses,Brown,Center,7-2,245,USA,1999-10-13T00:00:00,Undrafted,Undrafted,Undrafted,3
1628425,Sterling,Brown,Guard-Forward,6-5,219,USA,1995-02-10T00:00:00,2017,2,46,5
1630535,Greg,Brown III,Forward,6-7,206,USA,2001-09-01T00:00:00,2021,2,43,1
1629718,Charlie,Brown Jr.,Guard,6-6,199,USA,1997-02-02T00:00:00,Undrafted,Undrafted,Undrafted,3
1630602,Chaundee,Brown Jr.,Forward,6-5,215,USA,1998-12-04T00:00:00,Undrafted,Undrafted,Undrafted,2
1628972,Troy,Brown Jr.,Guard-Forward,6-6,215,USA,1999-07-28T00:00:00,2018,1,15,4
1628973,Jalen,Brunson,Guard,6-1,190,USA,1996-08-31T00:00:00,2018,2,33,4
1628418,Thomas,Bryant,Center-Forward,6-10,248,USA,1997-07-31T00:00:00,2017,2,42,5
203493,Reggie,Bullock,Guard-Forward,6-6,205,USA,1991-03-16T00:00:00,2013,1,25,9
203504,Trey,Burke,Guard,6-0,185,USA,1992-11-12T00:00:00,2013,1,9,9
202692,Alec,Burks,Guard,6-6,214,USA,1991-07-20T00:00:00,2011,1,12,11
1630215,Jared,Butler,Guard,6-3,193,USA,2000-08-25T00:00:00,2021,2,40,1
202710,Jimmy,Butler,Forward,6-7,230,USA,1989-09-14T00:00:00,2011,1,30,11
1629719,Devontae,Cacok,Forward,6-7,240,USA,1996-10-08T00:00:00,Undrafted,Undrafted,Undrafted,3
203484,Kentavious,Caldwell-Pope,Guard,6-5,204,USA,1993-02-18T00:00:00,2013,1,8,9
1630267,Facundo,Campazzo,Guard,5-10,195,Argentina,1991-03-23T00:00:00,Undrafted,Undrafted,Undrafted,3
1628427,Vlatko,Cancar,Forward,6-8,236,Slovenia,1997-04-10T00:00:00,2017,2,49,3
1629962,Devin,Cannady,Guard,6-2,183,USA,1996-05-21T00:00:00,2019,,,2
203991,Clint,Capela,Center,6-10,256,Switzerland,1994-05-18T00:00:00,2014,1,25,8
1630176,Vernon,Carey Jr.,Forward-Center,6-9,270,USA,2001-02-25T00:00:00,2020,2,32,2
1628975,Jevon,Carter,Guard,6-1,200,USA,1995-09-14T00:00:00,2018,2,32,4
1628976,Wendell,Carter Jr.,Center-Forward,6-10,270,USA,1999-04-16T00:00:00,2018,1,7,4
1627936,Alex,Caruso,Guard,6-5,186,USA,1994-02-28T00:00:00,Undrafted,Undrafted,Undrafted,5
1630551,Justin,Champagnie,Guard-Forward,6-6,206,USA,2001-06-29T00:00:00,Undrafted,Undrafted,Undrafted,1
1629185,Chris,Chiozza,Guard,5-11,175,USA,1995-11-21T00:00:00,Undrafted,Undrafted,Undrafted,4
1627737,Marquese,Chriss,Forward,6-9,240,USA,1997-07-02T00:00:00,2016,1,8,6
1630528,Josh,Christopher,Guard,6-3,215,USA,2001-12-08T00:00:00,2021,1,24,1
1629109,Gary,Clark,Forward,6-6,225,USA,1994-11-16T00:00:00,Undrafted,Undrafted,Undrafted,4
1629634,Brandon,Clarke,Forward,6-8,215,Canada,1996-09-19T00:00:00,2019,1,21,3
203903,Jordan,Clarkson,Guard,6-4,194,USA,1992-06-07T00:00:00,2014,2,46,8
1629651,Nic,Claxton,Center,6-11,215,USA,1999-04-17T00:00:00,2019,2,31,3
1629599,Amir,Coffey,Guard-Forward,6-7,210,USA,1997-06-17T00:00:00,Undrafted,Undrafted,Undrafted,3
1628381,John,Collins,Forward-Center,6-9,226,USA,1997-09-23T00:00:00,2017,1,19,5
1628380,Zach,Collins,Forward-Center,6-11,250,USA,1997-11-19T00:00:00,2017,1,10,4
201144,Mike,Conley,Guard,6-1,175,USA,1987-10-11T00:00:00,2007,1,4,15
1626192,Pat,Connaughton,Guard,6-5,209,USA,1993-01-06T00:00:00,2015,2,41,7
1629076,Tyler,Cook,Forward,6-8,255,USA,1997-09-23T00:00:00,Undrafted,Undrafted,Undrafted,3
1630536,Sharife,Cooper,Guard,6-1,176,USA,2001-06-11T00:00:00,2021,2,48,2
202326,DeMarcus,Cousins,Center,6-10,270,USA,1990-08-13T00:00:00,2010,1,5,12
203496,Robert,Covington,Forward,6-7,209,USA,1990-12-14T00:00:00,Undrafted,Undrafted,Undrafted,9
1628470,Torrey,Craig,Forward,6-7,221,USA,1990-12-19T00:00:00,Undrafted,Undrafted,Undrafted,5
203109,Jae,Crowder,Forward,6-6,235,USA,1990-07-06T00:00:00,2012,2,34,10
1629633,Jarrett,Culver,Guard-Forward,6-6,195,USA,1999-02-20T00:00:00,2019,1,6,3
1630595,Cade,Cunningham,Guard,6-6,220,USA,2001-09-25T00:00:00,2021,1,1,1
203552,Seth,Curry,Guard,6-2,185,USA,1990-08-23T00:00:00,Undrafted,Undrafted,Undrafted,8
201939,Stephen,Curry,Guard,6-2,185,USA,1988-03-14T00:00:00,2009,1,7,13
203076,Anthony,Davis,Forward-Center,6-10,253,USA,1993-03-11T00:00:00,2012,1,1,10
202334,Ed,Davis,Center-Forward,6-9,218,USA,1989-06-05T00:00:00,2010,1,13,13
1629056,Terence,Davis,Guard,6-4,201,USA,1997-05-16T00:00:00,Undrafted,Undrafted,Undrafted,3
201942,DeMar,DeRozan,Guard-Forward,6-6,220,USA,1989-08-07T00:00:00,2009,1,9,13
203473,Dewayne,Dedmon,Center,7-0,245,USA,1989-08-12T00:00:00,Undrafted,Undrafted,Undrafted,9
1628978,Donte,DiVincenzo,Guard,6-4,203,USA,1997-01-31T00:00:00,2018,1,17,4
1628977,Hamidou,Diallo,Guard,6-5,202,USA,1998-07-31T00:00:00,2018,2,45,4
203476,Gorgui,Dieng,Center,6-10,248,Senegal,1990-01-18T00:00:00,2013,1,21,9
203915,Spencer,Dinwiddie,Guard,6-6,215,USA,1993-04-06T00:00:00,2014,2,38,8
1629029,Luka,Doncic,Forward-Guard,6-7,230,Slovenia,1999-02-28T00:00:00,2018,1,3,4
1629652,Luguentz,Dort,Guard,6-3,215,Canada,1999-04-19T00:00:00,Undrafted,Undrafted,Undrafted,3
1630245,Ayo,Dosunmu,Guard,6-4,200,USA,2000-01-17T00:00:00,2021,2,38,1
201609,Goran,Dragic,Guard,6-3,190,Slovenia,1986-05-06T00:00:00,2008,2,45,14
203083,Andre,Drummond,Center,6-10,279,USA,1993-08-10T00:00:00,2012,1,9,10
1630537,Chris,Duarte,Guard,6-5,190,Dominican Republic,1997-06-13T00:00:00,2021,1,13,1
1630561,David,Duke Jr.,Guard,6-4,204,USA,1999-10-13T00:00:00,Undrafted,Undrafted,Undrafted,1
201142,Kevin,Durant,Forward,6-10,240,USA,1988-09-29T00:00:00,2007,1,2,14
1630162,Anthony,Edwards,Guard,6-4,225,USA,2001-08-05T00:00:00,2020,1,1,2
1629035,Carsen,Edwards,Guard,5-11,200,USA,1998-03-12T00:00:00,2019,2,33,4
1630556,Kessler,Edwards,Forward,6-7,203,USA,2000-08-09T00:00:00,2021,2,44,1
1629604,CJ,Elleby,Forward-Guard,6-6,200,USA,2000-06-16T00:00:00,2020,2,46,2
201961,Wayne,Ellington,Guard,6-4,207,USA,1987-11-29T00:00:00,2009,1,28,13
203954,Joel,Embiid,Center-Forward,7-0,280,Cameroon,1994-03-16T00:00:00,2014,1,3,6
202324,Derrick,Favors,Forward,6-9,265,USA,1991-07-15T00:00:00,2010,1,3,12
1628981,Bruno,Fernando,Forward-Center,6-9,240,Angola,1998-08-15T00:00:00,2019,2,34,3
1627827,Dorian,Finney-Smith,Forward,6-7,220,USA,1993-05-04T00:00:00,Undrafted,Undrafted,Undrafted,6
1630238,Malik,Fitts,Forward,6-5,230,USA,1997-07-04T00:00:00,Undrafted,Undrafted,Undrafted,3
1630201,Malachi,Flynn,Guard,6-1,175,USA,1998-05-09T00:00:00,2020,1,29,2
1627854,Bryn,Forbes,Guard,6-2,205,USA,1993-07-23T00:00:00,Undrafted,Undrafted,Undrafted,6
1630235,Trent,Forrest,Guard,6-4,210,USA,1998-06-12T00:00:00,Undrafted,Undrafted,Undrafted,2
203095,Evan,Fournier,Guard-Forward,6-6,205,France,1992-10-29T00:00:00,2012,1,20,10
1628368,De'Aaron,Fox,Guard,6-3,185,USA,1997-12-20T00:00:00,2017,1,5,5
1628982,Melvin,Frazier Jr.,Guard-Forward,6-5,215,USA,1996-08-30T00:00:00,2018,2,35,4
1628365,Markelle,Fultz,Guard,6-4,209,USA,1998-05-29T00:00:00,2017,1,1,5
1629117,Wenyen,Gabriel,Forward,6-9,205,South Sudan,1997-03-26T00:00:00,Undrafted,Undrafted,Undrafted,3
1629655,Daniel,Gafford,Forward-Center,6-9,234,USA,1998-10-01T00:00:00,2019,2,38,3
201568,Danilo,Gallinari,Forward,6-10,236,Italy,1988-08-08T00:00:00,2008,1,6,13
1629636,Darius,Garland,Guard,6-1,192,USA,2000-01-26T00:00:00,2019,1,5,3
1630586,Usman,Garuba,Forward,6-8,229,Spain,2002-03-09T00:00:00,2021,1,23,1
1630568,Luka,Garza,Center,6-10,243,USA,1998-12-27T00:00:00,2021,2,52,1
200752,Rudy,Gay,Forward-Guard,6-8,250,USA,1986-08-17T00:00:00,2006,1,8,16
202331,Paul,George,Forward,6-8,220,USA,1990-05-02T00:00:00,2010,1,10,12
201959,Taj,Gibson,Forward,6-9,232,USA,1985-06-24T00:00:00,2009,1,26,13
1630581,Josh,Giddey,Guard,6-8,205,Australia,2002-10-10T00:00:00,2021,1,6,1
1628983,Shai,Gilgeous-Alexander,Guard,6-6,180,Canada,1998-07-12T00:00:00,2018,1,11,4
1630264,Anthony,Gill,Forward,6-7,230,USA,1992-10-17T00:00:00,Undrafted,Undrafted,Undrafted,2
203497,Rudy,Gobert,Center,7-1,258,France,1992-06-26T00:00:00,2013,1,27,9
1629164,Brandon,Goodwin,Guard,6-0,180,USA,1995-10-02T00:00:00,Undrafted,Undrafted,Undrafted,5
203932,Aaron,Gordon,Forward,6-8,235,USA,1995-09-16T00:00:00,2014,1,4,8
201569,Eric,Gordon,Guard,6-3,215,USA,1988-12-25T00:00:00,2008,1,7,14
1628984,Devonte',Graham,Guard,6-1,195,USA,1995-02-22T00:00:00,2018,2,34,4
203924,Jerami,Grant,Forward,6-8,210,USA,1994-03-12T00:00:00,2014,2,39,8
201980,Danny,Green,Guard,6-6,215,USA,1987-06-22T00:00:00,2009,2,46,13
203110,Draymond,Green,Forward,6-6,230,USA,1990-03-04T00:00:00,2012,2,35,10
203210,JaMychal,Green,Forward-Center,6-8,227,USA,1990-06-21T00:00:00,Undrafted,Undrafted,Undrafted,8
1630224,Jalen,Green,Guard,6-4,186,USA,2002-02-09T00:00:00,2021,1,2,1
1629750,Javonte,Green,Guard-Forward,6-5,205,USA,1993-07-23T00:00:00,Undrafted,Undrafted,Undrafted,3
201145,Jeff,Green,Forward,6-8,235,USA,1986-08-28T00:00:00,2007,1,5,14
1630182,Josh,Green,Guard,6-5,200,Australia,2000-11-16T00:00:00,2020,1,18,2
201933,Blake,Griffin,Forward,6-9,250,USA,1989-03-16T00:00:00,2009,1,1,12
1629656,Quentin,Grimes,Guard,6-4,210,USA,2000-05-08T00:00:00,2021,1,25,1
1629060,Rui,Hachimura,Forward,6-8,230,Japan,1998-02-08T00:00:00,2019,1,9,3
1630169,Tyrese,Haliburton,Guard,6-5,185,USA,2000-02-29T00:00:00,2020,1,12,2
1630181,R.J.,Hampton,Guard,6-4,175,USA,2001-02-07T00:00:00,2020,1,24,2
203501,Tim,Hardaway Jr.,Guard-Forward,6-5,205,USA,1992-03-16T00:00:00,2013,1,24,9
201935,James,Harden,Guard,6-5,220,USA,1989-08-26T00:00:00,2009,1,3,13
203090,Maurice,Harkless,Forward-Guard,6-7,220,USA,1993-05-11T00:00:00,2012,1,15,10
1629607,Jared,Harper,Guard,5-10,175,USA,1997-09-14T00:00:00,Undrafted,Undrafted,Undrafted,3
1626149,Montrezl,Harrell,Forward-Center,6-7,240,USA,1994-01-26T00:00:00,2015,2,32,7
203914,Gary,Harris,Guard,6-4,210,USA,1994-09-14T00:00:00,2014,1,19,8
203925,Joe,Harris,Guard-Forward,6-6,220,USA,1991-09-06T00:00:00,2014,2,33,8
202699,Tobias,Harris,Forward,6-7,226,USA,1992-07-15T00:00:00,2011,1,19,11
1628404,Josh,Hart,Guard,6-5,215,USA,1995-03-06T00:00:00,2017,1,30,5
1628392,Isaiah,Hartenstein,Center-Forward,7-0,250,Germany,1998-05-05T00:00:00,2017,2,43,4
2617,Udonis,Haslem,Forward,6-8,235,USA,1980-06-09T00:00:00,Undrafted,Undrafted,Undrafted,19
1630573,Sam,Hauser,Forward,6-7,217,USA,1997-12-08T00:00:00,Undrafted,Undrafted,Undrafted,1
1629637,Jaxson,Hayes,Center-Forward,6-11,220,USA,2000-05-23T00:00:00,2019,1,8,3
1630165,Killian,Hayes,Guard,6-5,195,France,2001-07-27T00:00:00,2020,1,7,2
202330,Gordon,Hayward,Forward,6-7,225,USA,1990-03-23T00:00:00,2010,1,9,12
1627823,Juancho,Hernangomez,Forward,6-9,214,Spain,1995-09-28T00:00:00,2016,1,15,6
1626195,Willy,Hernangomez,Center-Forward,6-11,250,Spain,1994-05-27T00:00:00,2015,2,35,6
1629639,Tyler,Herro,Guard,6-5,195,USA,2000-01-20T00:00:00,2019,1,13,3
1627741,Buddy,Hield,Guard,6-4,220,Bahamas,1992-12-17T00:00:00,2016,1,6,6
1629312,Haywood,Highsmith,Forward,6-4,220,USA,1996-12-09T00:00:00,2018,,,2
201588,George,Hill,Guard,6-4,188,USA,1986-05-04T00:00:00,2008,1,26,14
1630792,Malcolm,Hill,Forward,6-6,220,USA,1995-10-26T00:00:00,Undrafted,Undrafted,Undrafted,1
1630207,Nate,Hinton,Guard-Forward,6-5,210,USA,1999-06-08T00:00:00,Undrafted,Undrafted,Undrafted,3
1628988,Aaron,Holiday,Guard,6-0,185,USA,1996-09-30T00:00:00,2018,1,23,4
201950,Jrue,Holiday,Guard,6-3,205,USA,1990-06-12T00:00:00,2009,1,17,13
203200,Justin,Holiday,Forward-Guard,6-6,180,USA,1989-04-05T00:00:00,Undrafted,Undrafted,Undrafted,9
1626158,Richaun,Holmes,Forward,6-10,235,USA,1993-10-15T00:00:00,2015,2,37,7
203918,Rodney,Hood,Guard-Forward,6-8,208,USA,1992-10-20T00:00:00,2014,1,23,8
201143,Al,Horford,Center-Forward,6-9,240,Dominican Republic,1986-06-03T00:00:00,2007,1,3,15
1629659,Talen,Horton-Tucker,Guard,6-4,234,USA,2000-11-25T00:00:00,2019,2,46,3
1627863,Danuel,House Jr.,Forward-Guard,6-6,220,USA,1993-06-07T00:00:00,Undrafted,Undrafted,Undrafted,6
2730,Dwight,Howard,Center-Forward,6-10,265,USA,1985-12-08T00:00:00,2004,1,1,18
1630210,Markus,Howard,Guard,5-10,175,USA,1999-03-03T00:00:00,Undrafted,Undrafted,Undrafted,3
1628989,Kevin,Huerter,Guard-Forward,6-7,198,USA,1998-08-27T00:00:00,2018,1,19,4
1630190,Elijah,Hughes,Guard,6-5,215,USA,1998-03-10T00:00:00,2020,2,39,2
1630624,Feron,Hunt,Forward,6-8,195,USA,1999-07-05T00:00:00,Undrafted,Undrafted,Undrafted,1
1629631,De'Andre,Hunter,Forward-Guard,6-8,221,USA,1997-12-02T00:00:00,2019,1,4,3
1630538,Bones,Hyland,Guard,6-2,169,USA,2000-09-14T00:00:00,2021,1,26,1
201586,Serge,Ibaka,Forward,6-10,235,Republic of the Congo,1989-09-18T00:00:00,2008,1,24,13
2738,Andre,Iguodala,Guard-Forward,6-6,215,USA,1984-01-28T00:00:00,2004,1,9,18
204060,Joe,Ingles,Forward-Guard,6-8,220,Australia,1987-10-02T00:00:00,Undrafted,Undrafted,Undrafted,8
1627742,Brandon,Ingram,Forward,6-8,190,USA,1997-09-02T00:00:00,2016,1,2,6
202681,Kyrie,Irving,Guard,6-2,195,Australia,1992-03-23T00:00:00,2011,1,1,11
1628371,Jonathan,Isaac,Forward,6-10,230,USA,1997-10-03T00:00:00,2017,1,6,3
1628402,Frank,Jackson,Guard,6-3,205,USA,1998-05-04T00:00:00,2017,2,31,4
1630543,Isaiah,Jackson,Forward,6-10,205,USA,2002-01-10T00:00:00,2021,1,22,1
1628367,Josh,Jackson,Guard-Forward,6-8,207,USA,1997-02-10T00:00:00,2017,1,4,5
202704,Reggie,Jackson,Guard,6-2,208,USA,1990-04-16T00:00:00,2011,1,24,11
1628991,Jaren,Jackson Jr.,Forward-Center,6-11,242,USA,1999-09-15T00:00:00,2018,1,4,4
2544,LeBron,James,Forward,6-9,250,USA,1984-12-30T00:00:00,2003,1,1,19
1629660,Ty,Jerome,Guard-Forward,6-5,195,USA,1997-07-08T00:00:00,2019,1,24,3
1630198,Isaiah,Joe,Guard,6-4,165,USA,1999-07-02T00:00:00,2020,2,49,2
1629661,Cameron,Johnson,Forward,6-8,210,USA,1996-03-03T00:00:00,2019,1,11,3
1630525,David,Johnson,Guard,6-4,203,USA,2001-02-26T00:00:00,2021,2,47,1
1630552,Jalen,Johnson,Forward,6-8,219,USA,2001-12-18T00:00:00,2021,1,20,1
1629640,Keldon,Johnson,Forward-Guard,6-6,220,USA,1999-10-11T00:00:00,2019,1,29,3
1630553,Keon,Johnson,Guard,6-4,185,USA,2002-03-10T00:00:00,2021,1,21,1
1626169,Stanley,Johnson,Forward-Guard,6-6,242,USA,1996-05-29T00:00:00,2015,1,8,7
203999,Nikola,Jokic,Center,6-11,284,Serbia,1995-02-19T00:00:00,2014,2,41,7
1627745,Damian,Jones,Center,6-11,245,USA,1995-06-30T00:00:00,2016,1,30,6
1630529,Herbert,Jones,Forward,6-7,206,USA,1998-10-06T00:00:00,2021,2,35,1
1630539,Kai,Jones,Center-Forward,6-10,221,Bahamas,2001-01-19T00:00:00,2021,1,19,1
1630222,Mason,Jones,Guard,6-4,200,USA,1998-07-21T00:00:00,Undrafted,Undrafted,Undrafted,3
1630200,Tre,Jones,Guard,6-1,185,USA,2000-01-08T00:00:00,2020,2,41,2
1626145,Tyus,Jones,Guard,6-0,196,USA,1996-05-10T00:00:00,2015,1,24,7
1627884,Derrick,Jones Jr.,Forward,6-6,210,USA,1997-02-15T00:00:00,Undrafted,Undrafted,Undrafted,6
201599,DeAndre,Jordan,Center,6-11,265,USA,1988-07-21T00:00:00,2008,2,35,14
202709,Cory,Joseph,Guard,6-3,200,Canada,1991-08-20T00:00:00,2011,1,29,11
1628379,Luke,Kennard,Guard,6-5,206,USA,1996-06-24T00:00:00,2017,1,12,5
1630296,Braxton,Key,Forward,6-8,225,USA,1997-02-14T00:00:00,Undrafted,Undrafted,Undrafted,1
1630557,Corey,Kispert,Forward,6-6,224,USA,1999-03-03T00:00:00,2021,1,15,1
1628467,Maxi,Kleber,Forward,6-10,240,Germany,1992-01-29T00:00:00,Undrafted,Undrafted,Undrafted,5
1630233,Nathan,Knight,Forward-Center,6-10,253,USA,1997-09-20T00:00:00,Undrafted,Undrafted,Undrafted,2
1628995,Kevin,Knox II,Forward,6-7,215,USA,1999-08-11T00:00:00,2018,1,9,4
1629723,John,Konchar,Guard,6-5,210,USA,1996-03-22T00:00:00,Undrafted,Undrafted,Undrafted,3
1627788,Furkan,Korkmaz,Guard-Forward,6-7,202,Turkey,1997-07-24T00:00:00,2016,1,26,5
1628436,Luke,Kornet,Center-Forward,7-2,250,USA,1995-07-15T00:00:00,Undrafted,Undrafted,Undrafted,5
1630249,Vit,Krejci,Guard,6-8,195,Czech Republic,2000-06-19T00:00:00,2020,2,37,1
1629083,Arnoldas,Kulboka,Forward,6-10,209,Lithuania,1998-01-04T00:00:00,2018,2,55,1
1630228,Jonathan,Kuminga,Forward,6-7,225,DRC,2002-10-06T00:00:00,2021,1,7,1
1628398,Kyle,Kuzma,Forward,6-9,221,USA,1995-07-24T00:00:00,2017,1,27,5
203897,Zach,LaVine,Guard-Forward,6-5,200,USA,1995-03-10T00:00:00,2014,1,13,8
1630237,Anthony,Lamb,Forward,6-6,227,USA,1998-01-20T00:00:00,Undrafted,Undrafted,Undrafted,2
203087,Jeremy,Lamb,Guard-Forward,6-5,180,USA,1992-05-30T00:00:00,2012,1,12,10
1629111,Jock,Landale,Center,6-11,255,Australia,1995-10-25T00:00:00,Undrafted,Undrafted,Undrafted,1
1629641,Romeo,Langford,Guard-Forward,6-5,216,USA,1999-10-25T00:00:00,2019,1,14,3
1627774,Jake,Layman,Forward,6-8,209,USA,1994-03-07T00:00:00,2016,2,47,6
1627747,Caris,LeVert,Guard,6-6,205,USA,1994-08-25T00:00:00,2016,1,20,6
1627814,Damion,Lee,Guard-Forward,6-5,210,USA,1992-10-21T00:00:00,Undrafted,Undrafted,Undrafted,5
